"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"59","FHL1","CLU","SNORA14A","SNORA23","TM4SF1","PLEK","SNORA37","FGD2","BMX","SNORA7A","CALD1","AKR1C3","RCN3","CD52","FXYD6","PRKCDBP","AIF1","CYBB","SNORA7A","SNCA","FSTL1","HLA-DMA","FHL2","SNORA71A","CD37","HIST1H3B","FRMD6","RNU5F-1","C1ORF61","AMICA1","ZAP70","PXDN","CD74","MMP14","STAC3","MME","RNU5D-1","MAL","SNORA14A","CD69","SNORA61","SNORA52","SNORA23"
"60","EFEMP1","TPM1","SNORD17","P2RX5","COL6A2","CD33","SNORD15A","SNORA81","MYCT1","CCDC88B","PTRF","NUSAP1","VCAN","GNB2L1","DPPA4","RHOD","SNORA54","SNORA55","ITGAX","GABRE","TRIM2","NHP2L1","MAP1B","HLA-DRA","NREP","IL32","PTRF","SNORA23","KCTD8","HCK","SNORA10","PTRF","PIM2","HIST1H2BB","RRAD","SERPINE2","GIMAP7","CD2","LCK","SCARNA22","SNORA11D","SNORA23","SNORA61"
"61","SERPING1","ERRFI1","FCRLA","SNORA60","CTGF","SSBP2","SNORA10","RNU11","TFPI","MYO1F","FAM129B","ICAM4","RPPH1","RHOH","HLA-DPB1","DSP","HLA-DRA","SNORA71A","FBP1","NFIB","VEPH1","PTPLA","AXL","CSTA","CLDN10","FAM43A","MXRA7","FCER2","NEFH","SNORA71D","SNORA52","LOXL2","NT5DC2","TGFBI","FHL1","MRC2","SNORA23","SNORA23","ITK","SNORA6","IL7R","SNORA21","SCARNA23"
"62","CAV1","IGFBP6","SCARNA23","LTB","TNFAIP6","NHP2L1","AFF2","SNORD94","PLK2","AZU1","PXDN","PTTG1","LRP1","HBG2","GNB2L1","S100A8","TGFBI","A2M","SNORD94","HEMGN","SLC1A4","APOBEC3C","DPYSL3","FCGR2A","BAALC","ENG","SPARC","SNORA61","GPM6A","SNORA84","SNORD15A","UCHL1","HLA-DRA","CLMP","ACACB","SPOCK1","GIMAP4","GIMAP5","CD2","TCF7","SNORA60","KLRD1","SNORA21"
"63","MGP","MMP14","SNORA66","FCRL2","RND3","ARHGDIB","CYBB","TNFRSF11A","NNMT","IL1RL1","PLS3","MLLT3","DDR2","H3F3B","RGL4","TMEM54","MS4A6A","CCL2","SNORA74A","PF4V1","IRF4","ERG","MT1E","SNORA7A","ZNF521","LOXL2","P4HA2","FCRLA","NME7","NAMPT","SNORA55","GDF15","HLA-DMA","HIST1H3G","ASB2","ITGB5","SNORA6","SNORA2A","SNORA23","SNORA37","SNORA11E","IL7R","CD3E"
"64","ID1","CCDC80","SNORA61","SNORA61","FAT1","NKG7","TYROBP","SNORD22","APLN","P2RY2","UCHL1","SLC40A1","LAMB1","NUCB2","MECOM","KRT7","SDC2","SCARNA3","CPM","GMPR","SNCA","HOPX","SERPINH1","SNORA7B","HSH2D","TMEM88","TM4SF1","SNORA66","ANK2","SNORA37","CD7","FAP","ADAM28","HIST1H3B","ATP1A2","TGM2","SNORD17","SNORA63","TRAT1","CD96","SNORA52","SAMD3","SNORA2A"
"65","CRYAB","OXTR","LTB","SNORD17","WNT5A","TFPI","RNASE3","CD40","RAPGEF5","DOK2","MT1E","CKS2","MMP14","PLEK","CD37","TNFRSF12A","CTSH","SLAMF7","BCL2A1","PSTPIP2","SLC7A11","IL2RG","CRISPLD2","RNU6ATAC","BEX2","CCND1","RCN3","IRF8","SPOCK3","SNORA81","TBX21","FRMD6","PTPRCAP","ASS1","IP6K3","TPM2","SNORA21","SNORA71A","SNORA63","BPI","KLRD1","LCK","RGS1"
"66","HIST2H2AA3","BGN","SNORA79","SPIB","CDH11","MDK","SNORA23","SNORA74B","IGFBP7","SNORA71A","TPM1","RPS4Y1","COL4A2","HLA-DPA1","NPR3","MMP14","C5AR1","SNORA38B","ITGAM","HBB","MME","NCF4","COL6A1","PLBD1","HLA-DRB5","PLS3","RPL36A-HNRNPH2","SNORD17","SEZ6L","SPI1","SNORA75","IL1B","CNKSR1","FSCN1","HRC","CAV1","SNORA14B","TRAT1","IL32","CD24","LCK","CD247","SNORA60"
"67","CYP4B1","KRT19","SNORA71A","SNORA2A","ADM","HCST","SNORA71C","SAMSN1","TXNDC5","CFD","SERPINH1","HJURP","LOXL1","KIT","PDE1A","IER3","CD52","SNORA38","PLBD1","RGS6","LGALS3BP","HYAL3","LAMB1","FGR","LRRC70","PXDN","ADM","SNORA75","FGL2","ALOX5","SNORA38","KRT8","KCNN3","LAMC1","MUSTN1","FLNC","FAM65B","KLRB1","SNORA80B","SNORA21","SNORA14A","SNORA60","SPOCK2"
"68","MFAP5","EMILIN1","HLA-DRA","IRF8","FKBP10","CD37","SNORA6","CLEC4A","PXDN","ATP2A3","LAPTM4B","CNRIP1","ASS1","CD79B","CDCA7","HTRA1","SLCO2B1","SNORA10","CD276","ANGPT1","IGFBP7","SLC40A1","FKBP10","SNORA80B","FAM124B","EMP1","FAM129B","CD19","NPTX1","MEFV","FCRL6","ITGA1","HLA-DPA1","RPL36A-HNRNPH2","MYO18B","POSTN","STAT4","LEF1","ZAP70","SNORA5C","GZMM","SNORA14A","SNORA14A"
"69","PRKAR2B","CALD1","SCARNA14","HLA-DRA","LRP1","XIST","SNORA21","RAMP1","PRSS23","CD97","TMEM132A","ANK1","UCHL1","MEIS1","LAT2","CD24","SNORD97","NR1H3","TIE1","TBXAS1","HIST2H4B","PLEK","HSPG2","LST1","NHP2L1","CALCRL","FLNC","SNORA2A","KLK8","TYROBP","SNORA74A","FBN2","SYVN1","TNXB","HSPB8","KANK2","TRAF3IP3","SNORA66","SNORA71A","SNORA80B","IL32","CD2","RNU4ATAC"
"70","ASS1","PTRF","SNORA71C","SNORA66","NT5E","LST1","NKG7","SLC15A3","DKK3","SNORA52","EFEMP1","BLVRB","FAM114A1","CD37","DCP1A","PLAU","S100A8","NCF2","CHI3L1","CTSW","RPPH1","LGALS9","CHPF","SNORA23","JUP","FSCN1","GAS6","HLA-DRA","CKB","PROK2","SNORA13","PRKCDBP","SSR4","HIST2H3C","DUSP13","FAM114A1","CD52","RNU4ATAC","SNORD17","SNORD17","SAMD3","IL32","SNORD17"
"71","COL6A3","FSTL3","FAM129C","SNORA71A","SEMA3C","HLA-DPB1","SNORA5A","HLA-DRA","CCND1","ARHGAP4","VCAN","PRDX2","FSCN1","ITM2A","IFITM3","SMTN","ITGAX","FCER1G","OAS1","PSAT1","OAS2","BEX2","DLC1","SCARNA22","HLA-DPB1","CRIM1","SYNPO2","MARCH1","HOPX","FGR","SNORA11B","HMGA2","CECR1","HIST2H3A","HSPB7","COL5A1","CD48","SCARNA22","SNORA2B","SNORA23","SNORA80B","CST7","LEF1"
"72","TIMP3","IGFBP3","P2RX5","SNORA79","ADAMTS5","AKR1C3","PLAC8","MAOA","LDB2","APOBR","DDR1","UBE2C","PCDH18","BEX2","NHP2L1","DKK3","EMP1","TYROBP","PPARG","TUBA8","OAS1","AREG","CYR61","HLA-DRB1","EAF2","GDF15","ITGB5","FCRL2","CRYAB","MMP9","SNORA71D","LTBP2","GNB2L1","TFPI2","ADPRHL1","RCN3","RPS4Y1","SPOCK2","CD6","SELL","SNORD17","SNORA71A","SNORA41"
"73","LRP1","SULF1","HLA-DOB","SNORA14A","VCAN","WBP5","NFE2","C1QA","ID1","FCGR2A","HIST1H3C","HPGD","SPARC","DPPA4","GUCY1A3","IL1B","HLA-DRB1","SNORA28","LGALS3","TAL1","CSPG4","ITM2A","LAPTM4B","SPI1","IGLL1","SDPR","TNFRSF12A","P2RX5","ITPR1","SORL1","SNORA61","ACTA2","ST6GAL1","SPON2","DCN","GREM1","SNORA5C","SNORA71C","SCARNA6","SNORA71C","CD247","GZMM","SNORA66"
"74","F13A1","LOXL1","IRF8","HLA-DOB","PPP1R3C","CD53","SCARNA1","CDKN1A","CALD1","HK2","IGFBP7","BIRC5","TGFBI","SERPINB1","NPM2","RPL36A-HNRNPH2","HAVCR2","SNORA5C","ATF3","DAPP1","FN1","PKIG","TGM2","BCL2A1","RAB37","PRKCDBP","UCHL1","SNORA71A","ENPP5","SELL","SNORA28","DKK3","SPAG4","ADAMTSL1","PPP1R27","COL4A2","RASGRP2","SNORD17","SCARNA22","C1ORF228","SNORA66","SCARNA22","ZAP70"
"75","EMP1","DIRAS3","SCARNA22","RNU4ATAC","TPD52L1","BLNK","FCER1G","SNORA71A","PCDH1","ITGB2","RPL36A-HNRNPH2","SNCA","COL4A1","DDX3Y","AKR1C3","FST","CYP1B1","SCARNA1","SNORD22","TM6SF1","BACE2","SERPINB1","NME2","HLA-DRB5","GUCY1A3","PODXL","MT1L","BLK","SLC4A10","SCARNA22","NCR1","TMEM200A","SEC11C","AXL","SRL","MYLK","SNORA71C","CD6","CD69","SCARNA1","SNORA71A","SNORD17","LIME1"
"76","STAB1","TNFRSF12A","SPIB","SNORA71C","GPC6","PRSS57","SNORA80B","CSTA","PTPRB","C10ORF128","SLC2A1","GNB2L1","KANK2","NHP2L1","MCTP1","SAA1","SNORA49","SNORA14B","RNU11","MEG3","SCD","UCP2","EDIL3","CD93","CD53","FLNC","MRC2","SNORA71C","GABBR2","PTGS2","SNORA23","IL6","ITM2C","HTRA1","SMTNL2","P4HA2","GNB2L1","SNORA80B","MAL","CAMK4","GIMAP5","SNORA2A","CD3G"
"77","AOX1","PRKCDBP","RNU4ATAC","SCARNA14","LTBP2","SERPINB1","AIF1","NR4A3","HYAL2","SYTL1","CTTN","HBQ1","NME2","RGL4","CD53","FEZ1","CPVL","SCARNA8","SNORA81","PRKAR2B","CYP27A1","FCER1G","MDK","LGALS2","CPXM1","LAMB1","MT1E","IGLL5","CNTN3","BCL2A1","SNORA21","DDR2","LAMA5","VASN","SYNPO","NRP1","TMC8","CD69","GIMAP5","LTB","SNORA41","KLRG1","ITGB7"
"78","S100A9","PLAT","AIM2","SCARNA23","MYOF","SEP15","HIST1H3B","SNORA37","DOCK9","SNORA81","IRF6","CHAC2","PXDN","S100Z","MPL","NME2","CHIT1","IL1B","FN1","CD226","IGSF11","CD53","PDLIM7","SNORA21","MFAP4","PRSS23","CAV2","SCARNA14","UCHL1","SNORA38B","CLIC3","LAMB1","KDM5D","DPP4","MYOM1","PRSS23","CXCR4","IL32","SPOCK2","SPOCK2","KLRC4-KLRK1","SNORA41","SCARNA14"
"79","RARRES2","MYL9","MARCH1","CD19","SERPINH1","LCP1","SNORD17","MREG","CNN3","CD300LF","HIST1H3F","MPP1","NT5E","TRO","MEF2C","PERP","HLA-DQA1","CPM","FGR","LIMS1","HIST1H2BO","SOX4","CDH2","CD83","ALDH1A1","SERPINH1","FAT1","SNORA14A","MAP1B","P2RY13","SPON2","IL24","DOK3","RPPH1","TRDN","LAMC1","CD5","TCF7","SNORA79","S100A12","SNORA47","FGFBP2","SCARNA6"
"80","A2M","FBN1","SNORA78","SNORA36A","CLU","LAIR1","CTSW","DUSP5","MYOF","SEMA7A","RPS4Y1","ESCO2","CHPF","CD53","MSRB3","MMP9","LIPA","CTSH","S100A16","MEST","TEAD1","TSPAN2","CKB","MNDA","ARHGDIB","FSTL1","TPM1","SNORA79","ATP2B2","IL18RAP","KLRC1","PTX3","SELK","PRKCDBP","SPTB","IGFBP4","CYTIP","CD3E","SCARNA14","CD3E","CD2","GIMAP5","SELL"
"81","SRPX","ACTG2","SNORA63","FCGR2C","MEG3","CD244","XIST","HSD11B1","RPPH1","S1PR4","GJA1","MAD2L1","KRT18","PHGDH","CFH","HIST1H3C","SNORA81","IFI30","FABP5","MEF2C","LAMA1","TRO","IGFBP5","CTSS","HLA-DQA1","MYCT1","SERPINE2","CD83","NCAM1","SNORA74B","SNORA71A","PDGFRA","NEIL1","ADAM12","AKR1C2","FAT1","SCARNA6","SNORA78","SNORA78","CTSG","CST7","SNORA71C","IL2RA"
"82","MT1X","DCBLD2","SNORA53","SNORA63","FRMD6","SYNGR1","SNORA2A","SNORA7B","CRIM1","PLCB2","EPHA2","HMGB2","HTRA1","IRF8","ICA1","SERPINE1","SNORD22","ITGAX","MREG","F2R","CTTN","SERPING1","SPARC","TGFBI","IL2RG","NNMT","IGFBP6","SNORA2B","SCG3","EMR3","MATK","LRP1","HLA-DQA2","MYO1B","MYOM3","ITGBL1","FYB","SCARNA6","SNORA71C","SNORA65","ZAP70","KLRB1","CD69"
"83","FSTL1","RBP1","LY86","SNORA78","MMP2","ADA","COL23A1","TNFAIP2","GIMAP4","NCF4","TGM2","PTPLAD1","AXL","HLA-DPB1","EVI2B","CITED4","HLA-DPA1","SNORA23","NCEH1","MYCT1","SCARNA2","SEP15","MRC2","EREG","P2RX1","CLU","NT5E","SNORA78","SCD5","MYO1F","SNORA2A","AXL","PLCG2","SLC6A15","GPD1","CTTN","CLEC2D","SCARNA14","CCR4","SNORA14B","SCARNA6","GBP5","CD27"
"84","MMP2","ITGB5","FCGR2C","SCARNA22","ENPP2","TNFSF13B","LAT2","CCL5","BACE2","PSTPIP1","SPINT2","NPL","FKBP9","LGALS9","ARHGDIB","TRIB3","SLC15A3","SNORA75","SNORA34","ABCC4","PAX3","ARHGDIB","JUP","SNORA6","LGALS9","CNN3","FAP","SNORA63","ANO4","SNORA23","SCARNA22","VASN","GLCCI1","FAT1","DDN","LAMB2","SNORA80B","SNORA47","SCARNA23","CD247","CD3E","SNORA80B","SNORA63"
"85","RBP7","TGM2","SNORA36A","SNORA2B","RPPH1","UCP2","HAL","SNORA34","RHOJ","DEFA4","FKBP10","ARG2","CTTN","SPARC","STMN1","GJB5","ITGB2","CYP27A1","SNORA71A","HBA1","CHPF","P2RX1","TNFRSF6B","SNORA38B","STMN1","EPHA2","RPS4Y1","LTB","GRIK1","KCNJ15","SNORA60","RAI14","STARD5","FAM114A1","MT1X","PTGIS","CD3G","SELL","CD3E","RPS4Y1","SNORA71C","SCARNA23","AQP3"
"86","CHRDL1","PYCR1","SCARNA6","ALOX5","PTX3","VAMP8","CD33","IFI30","PECAM1","SNORA74A","AREG","CDCA8","CCND1","SEP15","CLDN10","GNA15","HLA-DMA","SLC15A3","SNORA7B","SELT","PLXNC1","PTPN6","PLXNB2","PLEK","MECOM","HIST1H3F","CNN3","SCARNA23","GOLT1A","SNORA10","SNORD17","SERPINE2","MEI1","NME2","GPX3","NME2","RASGRP1","SNORA79","MIR150","CD6","NELL2","ITK","CD28"
"87","FZD4","MDFI","SNORA2B","LY86","ADAMTSL1","IRF8","SNORA14B","CYTIP","CAV2","SNORA7B","MYOF","CKS1B","LAMC1","VAMP8","RAB37","FSTL3","SNORA34","FBP1","SNORA74B","LAT2","HES6","WBP5","FSTL1","CD68","MPL","PDE2A","IGFBP5","SCARNA22","PSD2","SNORA80B","SNORA14A","KANK2","EVI2B","CTSK","SGCA","FAM129B","SORL1","LIME1","ITGB7","PASK","SNORA78","DUSP2","CD6"
"88","LMCD1","NME2","TLR10","SNORA47","PSD3","MEF2C","GNB2L1","CLIC2","RAI14","SYNE2","SDC4","PBK","LAMB2","RAB37","RHOH","SPINT1","LILRA5","SDC2","GALNT12","GNG11","HIST1H3F","MYH10","EPHB2","SELL","SEP15","ICAM2","POSTN","CD69","FABP3","RGS2","HOPX","CHI3L1","BTK","HIST1H2AI","LDB3","PLS3","DDX3Y","SCARNA23","LIME1","AIF1","RNU4ATAC","SNORA79","CD5"
"89","COL6A1","FSCN1","FCRL2","TNFRSF13C","FAM114A1","CD48","CLTCL1","IL13RA1","EMP1","COL18A1","CAV2","APOBEC3C","RPS4Y1","LCP1","GMFG","COL7A1","CTSB","SNORA80B","SORT1","GNB2L1","CMPK2","CD74","MYL9","PILRA","RSL1D1","CXORF36","CDH11","AFF3","FNDC5","CSF2RB","SCARNA23","TPBG","SRPR","COL5A2","SPARCL1","AKR1C1","PTPRC","CCR4","AQP3","PLAC8","SCARNA22","SNORA11D","GIMAP5"
"90","PTRF","SERPINE2","SNORA71B","SNORA53","BMPER","GMFG","RGS18","CRIP1","GNG12","THBS1","IER3","NHP2L1","CLU","SOX4","HMGA2","RPPH1","CTSS","SNORA11B","MS4A7","F2RL2","NME2","GMFG","AMIGO2","MS4A7","ATP8B4","ESAM","LMO7","KIAA0226L","CDS1","SNORA21","RNU4ATAC","MEST","NRD1","MT1E","PPP1R1A","GPNMB","FAIM3","GIMAP4","SCARNA5","CCR7","ITK","SNORA11E","PTPRCAP"
"91","C10ORF10","SEMA3C","SNORA47","HLA-DMB","LMO7","SPARC","SNORA28","HLA-DRB1","HIST1H4L","PTAFR","FRMD6","CENPF","ISLR","ARHGDIB","IL2RG","JUP","GNB2L1","HCK","SCIMP","SPARC","PTPRS","CSF3R","PTRF","AMICA1","AMICA1","ANXA3","LAMC1","PAX5","NRXN1","LYZ","TYROBP","MYO10","SEL1L3","ACVRL1","FXYD1","MYOF","ATHL1","AQP3","CCL5","GNB2L1","DUSP2","SNORA66","KLRB1"
"92","COL6A2","PKIB","HLA-DMB","SNORA69","SEPP1","EVI2B","DMXL2","HCK","LAMB2","SNORA71D","ERRFI1","PSAT1","NRP1","HBA2","HHEX","FN1","BCL2A1","CD52","MNDA","PECAM1","IFI6","CKS2","PRKCDBP","CD86","SORL1","NME2","TUBB3","HLA-DQB1","LRRC49","MME","XCL2","TPM2","AIM2","HIST2H3D","COX7A1","LTBP2","TNFRSF25","GIMAP7","SNORA47","CD27","LTB","KLRC4-KLRK1","IL10RA"
"93","TAGLN","CADM1","SNORA59A","MARCH1","CAV1","RGL4","CEBPA","RGS1","IGFBP4","PLEKHG3","CHPF","SLC25A37","ADAMTS1","UCP2","C11ORF74","ARTN","LGALS3","SNORA47","CSTB","HBA2","KYNU","VAMP8","FXYD2","SNORA9","CRYGD","BACE2","RND3","RNU4ATAC","DBNDD2","LST1","SNORA71C","TMEM158","LRMP","PSD3","SCN1B","TM4SF1","PLAC8","TNFRSF25","CD52","ATHL1","KLRG1","SNORA78","CD52"
"94","LAMA4","SERPINE1","SNORA69","CD74","GNG12","CKS2","ALOX5","MYO1G","IFI27","HMHA1","HSPG2","TK1","TUBB3","MFAP4","SELK","CAV2","C3","S100A8","FCER1G","CD9","HIST1H2BL","FHL2","GALNT14","AOAH","GNAI1","GJA1","NME2","BACH2","NDUFA7","FCER1G","SNORA80B","RPPH1","MIR671","AKAP12","TBX15","SPARC","SCARNA5","CD5","GZMA","SCARNA3","SELL","SCARNA6","GBP5"
"95","PTPRS","EFEMP2","RNU12","MPEG1","SPARC","BEX2","SNORA5C","CFB","EPAS1","C15ORF39","HIST2H3D","SELT","S100A16","MCTP1","NREP","IGFBP7","IRF8","MREG","SNORA23","MPP1","MX2","HLA-DPA1","DBN1","SCARNA8","GMFG","KRT18","LAMB2","HLA-DMB","STMN4","LILRA5","LCK","CDH2","NCF4","NQO1","SYNM","RPS4Y1","FHIT","CD52","SNORA53","RHOH","SNORA2B","SNORA47","SNORA78"
"96","CEBPA","THBS1","SCARNA5","HLA-DRB1","AXL","PTPRC","CRNDE","GNB2L1","CYR61","KSR1","COL1A1","CDC20","BGN","HCST","ATF7IP2","THBS2","CD53","SNORA71C","ALDH1A1","NCF4","TERC","PTPLAD1","MT1L","CD52","UCP2","HIST1H2AL","FHL2","SNORA69","SLC8A1","SNORA47","CD300A","VEGFA","IL10RA","FBLN1","MYOM2","TFPI2","CD96","SNORA59A","SNORA59A","ANXA3","SCARNA5","FCRL6","SNORA2B"
"97","RPPH1","FAM114A1","HLA-DRB1","SNORA59A","CALD1","C1ORF228","LAIR1","AQP9","SPARC","S100P","CNN3","PIP5K1B","SPON2","MSRB3","OCIAD2","KLK5","CD300A","SLC1A3","RNU5F-1","CD84","SPARC","DEPTOR","PTPRF","GPR183","SELK","NQO1","TFPI","RNU12","TAC1","MXD1","GPR56","ARMC9","SEP15","HIST1H2AG","ECHDC3","NID2","ETS1","SCARNA5","CD3G","CD52","SNORA79","CD3E","SNORA53"
"98","TYROBP","WNT5A","TEX9","WDFY4","NQO1","HBB","RNU5D-1","SNORA47","FAM69B","SEMA4D","SLPI","AURKA","PRSS23","GALNT14","LGALS9","DDR1","HCK","CCL4","ITGB2","HPSE","RCAN1","C11ORF74","CTHRC1","CXCL2","EVI2B","SPARC","MYO1B","SNORA47","KCNMA1","SNORA9","SNORA66","FAM114A1","HLA-DQB1","PCOLCE","PLN","EXT1","LAT","ITGB7","LEF1","TCN1","SCARNA23","RNU4ATAC","TIGIT"
"99","MAOA","ID1","TNFRSF13C","SCARNA6","AKR1C2","NCF4","IGFBP2","IDO1","ICAM2","CEBPE","AJUBA","RRM2","FRMD6","GMFG","MAP3K8","AGRN","SPI1","SNX10","SLCO2B1","SPCS2","HIST1H4L","EIF4EBP3","GAS6","SNORA71C","IL1B","LAMB2","CDH13","CXCR5","TRIM9","PADI4","FGR","PTGS2","GAS6","KANK2","SVIL","PRRX1","SEPT1","GNB2L1","CD48","SCARNA6","PTPRCAP","SPOCK2","SNORA59A"
"100","RASD1","ADAM19","HLA-DPA1","HLA-DPA1","AKR1C1","RNF125","MSRB3","IL6","SNORA23","XKR8","LAMB2","AMHR2","CLEC11A","LST1","CKS2","LAD1","NCEH1","ACP5","SNORA37","ESAM","HIST2H3C","PTPN7","HIST1H3C","SNORA38","IL18","PLK2","KCNE4","CD74","TM6SF1","FAM65B","SNORA78","SPARC","ACSS1","TFPI","CD36","CNN3","TBC1D10C","CD48","SNORA36A","CXCR4","SNORA53","LTB","SCARNA5"
"101","GSN","LUM","COBLL1","PTPRCAP","ELN","CD79A","HIST1H3C","TRIP10","CTTN","UNC13D","DSG2","SEP15","LOX","BTK","SELT","TGFBI","PLEK","SNORA15","GNB2L1","CDK1","AVPI1","ARHGAP15","CD70","GNB2L1","LCP1","GNG12","CHPF","HLA-DQA1","SERPINI1","TLR2","PLAC8","TNFRSF12A","IL16","MAP1B","CAP2","S100A16","RHOH","BCL11B","GIMAP4","RGS1","CD3G","THEMIS","GNB2L1"
"102","LAMB1","PCOLCE","PTPRCAP","KIAA0125","MMP14","C11ORF74","CD68","ICAM1","ALDH1A1","DENND3","TERC","ACN9","VASN","APOBEC3C","MYH10","EFNB1","HNMT","SCARNA22","HLA-DRA","EIF1AY","CNN3","SLA","REC8","PTGS2","MSRB3","PECAM1","LOXL2","HLA-DRB5","FSTL4","SCARNA3","SNORA41","NRP1","CCDC88B","HIST1H2BI","TMOD4","IL33","EPHX2","CD28","TNFRSF25","CYTIP","LIME1","CD3G","GIMAP4"
"103","MS4A6A","HIST1H4L","BAIAP3","HLA-DQB1","LMCD1","CD200","SRGN","TGM2","NME2","TBC1D10C","HIST1H4L","SLC29A1","LOXL2","CYTL1","TBXAS1","SERPINH1","AMICA1","SNORA2A","SNX10","BIN2","HIST2H3A","SPN","UGT2B7","ITGAX","KIAA0101","RNASE1","COL5A1","SNORA53","ST8SIA3","STEAP4","SNORA47","CTTN","CTSH","SCD","ERRFI1","FRMD6","IL32","SNORA53","PTPRCAP","DDX3Y","SPOCK2","PTPRCAP","IKZF2"
"104","TIMP4","GAS6","CD19","FAIM3","PITX1","PHGDH","SCARNA8","PPP1R14A","WWTR1","CD52","CDH1","MGST1","EHD2","PTPRC","PTPRC","EFEMP1","CLEC10A","CCND1","MRAS","RASGRP3","DAB2","TFPI","CD276","CLEC12A","PTPN7","GNG11","FAM114A1","VPREB3","FABP7","CHI3L1","FCER1G","SCARNA2","ABCA7","LMNA","MYOT","RPPH1","RNU5F-1","CXCR4","GNB2L1","KLRC4-KLRK1","CD27","SCARNA5","GIMAP7"
"105","GHR","GPC1","CD74","VPREB3","FAP","RSL1D1","SORL1","ANPEP","COL8A1","ARHGAP9","HIST2H4A","MND1","CNN3","IFITM3","GNG11","FERMT1","HLA-DPB1","MT1H","ADRA2B","ICAM2","LGALS3","TBXAS1","COL5A2","HK3","DDX3Y","PROCR","RPPH1","HLA-DRB1","CAMK2B","AIF1","KLRC4-KLRK1","DLC1","CD40","NID1","MYPN","SPON2","THEMIS","SNORA36A","CXCR4","ITM2A","GIMAP4","GIMAP4","DUSP4"
"106","IFI27","NREP","COCH","HLA-DQA1","PLOD2","PECAM1","NCF2","SNORA23","FZD4","PLD4","TGFA","UCP2","P4HA2","TFPI","RARRES3","TNC","LST1","BCL2A1","FLT1","RGS10","HIST1H2BM","TFR2","F2R","SULF2","RARRES3","TXNDC5","PSD3","SNORA36B","RGS8","PTPRC","PTPRCAP","CNN3","ATP2A3","CTTN","FABP4","ADAMTS1","ITGA6","GPR183","CD5","SCARNA5","SNORA59A","CD52","SNORA79"
"107","AKR1C2","FHL2","OSBPL10","GPR183","FGF7","GALNT14","MGST1","IL10RA","CDH13","TNFAIP2","DCBLD2","CENPW","MYOF","CPXM1","HLA-DMB","RPS4Y1","CTSZ","C5AR1","CTSZ","SLC40A1","PRKCDBP","LCP1","RPL36A-HNRNPH2","ALOX5","PECAM1","HIST2H3D","MMP14","WDFY4","NTM","GCA","ITGAM","NT5E","PLXNB2","SPARC","SLC2A4","FAP","SCARNA3","PTPRCAP","GIMAP7","FCN1","RPS4Y1","SNORA53","SNORA36A"
"108","COL3A1","LAMA4","SCARNA2","CD52","AKAP12","FAM92A1","SCARNA3","HLA-DPA1","NID1","DOK3","YAP1","PIR","RND3","SNHG15","UCP2","TGFA","FCGR3A","CD14","LCP1","FHL2","LAMB1","EAF2","RGS4","HLA-DPA1","MCTP1","CYTL1","TUBB6","HLA-DPA1","SMPDL3B","PADI2","CD244","ITGB5","RPS4Y1","CA12","PKIA","HTRA1","PLCG1","CCR7","RGS1","SNORA28","CD52","CCL4","SNORA22"
"109","ECHDC3","FBLIM1","CD52","CD24","SDC2","JUP","PLEK","TNFSF13B","FAM124B","ELANE","TUBB6","UTP11L","FBLN5","PECAM1","SEP15","PTRF","SLAMF8","SNORA63","SNORA47","SEP15","GCNT2","NREP","QPRT","TLR2","FHL1","PCDH1","PLK2","SNORA59A","C14ORF37","DYSF","SNORA79","LAMC1","CYTIP","HIST1H4D","SOD2","COL14A1","ARHGAP15","XIST","IL10RA","PGLYRP1","GIMAP7","SNORA22","CD48"
"110","MT1E","CNN3","GPR183","BLNK","FHL2","SELK","KCNE3","APOE","NRP1","SLC29A1","TM4SF1","HMGN5","MME","RAMP1","CD79B","SPINT2","LSP1","HAVCR2","SCD","EFHC2","ISG15","OCIAD2","SPP1","TNFAIP2","MPO","COL18A1","MAP1B","CD52","KLHL1","IGSF6","SNORA53","KRT19","LRRK1","AHNAK2","SLPI","NQO1","CD53","CD3G","GZMK","MMP8","TRAT1","GNB2L1","FAIM3"
"111","EPAS1","MAP1B","WDFY4","HLA-DOA","NFATC4","NRD1","LIN7A","SPP1","UCHL1","PARVG","HIST1H4D","SELK","NQO1","LAPTM5","BCAT1","ID1","LCP1","SNORA13","CCR1","RAB38","SGK1","LAPTM5","PTK7","IL1RN","MFAP2","DKK3","TGM2","CXCR4","NELL2","SNORA74A","SNORA36A","CXCL1","LSP1","AKR1C2","HBA1","CLU","SNORA65","FAM65B","CD4","SCARNA15","GNB2L1","RPS4Y1","MAL"
