"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"381","TRIM2","BTN3A2","IGF2BP3","RGCC","HOXA10","PRKCQ-AS1","OAS1","SNX10","BASP1","VILL","PLIN2","ECM2","NR1H4","SLFN11","ENPEP","SULF2","ATP1B1","IMPA2","LHFPL2","SRM","RPS6KA1","MKI67","CFD","PRTFDC1","LRRN3","ST6GALNAC2","BEX2","EFEMP2","WDR11-AS1","CEBPD","TRIB2","MIR205HG"
"382","CD44","CENPH","ZWINT","DLEU1","SOD2","FAH","ZNF366","POU5F1P4","DPYSL2","ERRFI1","LTBP1","TOP2A","GPR137B","SERPING1","ABCG2","SLC24A4","SLAIN1","SASH1","IL18","NME1","IFI44","KIF18A","SERPINA1","CENPA","PKM","REM2","PTGDS","LTBP1","RAC2","OGN","FNBP1","PENK"
"383","ANGPTL1","NONAME22","RAD51AP1","MRPS2","ARRDC4","IMPA2","PFKP","PRSS8","ZWINT","PRKCZ","GAS2L3","MEGF6","FOXQ1","TTK","CD9","NONAME842","NUAK1","ESYT3","RAB7B","PAICS","NR4A2","DOK5","JDP2","LEMD1","NEURL1B","SP110","PTPRE","OLFML2A","ZBED5-AS1","COL21A1","BCL9L","MVP"
"384","ATXN1","SKAP2","SLC16A14","SRM","NONAME487","NKX2-3","SLC31A2","CKB","MGLL","MAPK13","BLM","PRC1","EXOC3L2","MTMR11","RND3","G0S2","ITM2A","NEAT1","CSF2RA","NECAB1","SMCO4","LINC00960","IMPA2","ARL4C","EFS","DUSP6","MFNG","ENO2","ANXA1","ABCA1","IFITM2","MSRB3"
"385","GAD1","ABCB4","GZMH","ABCC4","BASP1","HDC","PSMB9","WDHD1","HMMR","SEPT10","OPTN","MSRB3","TRIM62","ELMO1","PCK2","IGF2R","FLVCR1","RIN2","CLDN23","RARRES1","DOCK10","POPDC3","GRN","VAT1L","PTN","CLEC2B","TRIB2","SLC16A3","PDE6H","SRPX2","TSHZ1","G0S2"
"386","VCAN","NCOA3","GZMB","TAL1","WWP2","ITGB2","MGAT4A","FRAT2","TINAGL1","PON2","SPIN4","AEBP1","APITD1","NONAME894","GBP3","GZMK","IL17RD","CA6","DOK3","LHFP","ARHGAP25","BASP1","NONAME68","FREM2","FLRT1","KIAA1324","RAB11FIP1","THY1","ICAM2","LOXL1-AS1","GPR155","C4ORF32"
"387","KCNT2","ENTPD1","CCDC191","TIMM8A","CRISPLD1","EMP1","PIK3R5","RAB34","MT2A","SCEL","HAUS8","TUBB2A","NONAME99","DUSP6","PLA2G12B","TSPAN13","CENPU","SLC25A43","ARAP2","INPP5D","CPPED1","S100A4","ANXA6","DLX1","SHROOM2","FAM101B","SATB1","CD36","SLC6A4","NONAME873","ACSL6","PLXNB2"
"388","FMNL2","LYSMD2","FAM101B","AGPAT1","SERPINA1","ATL1","TIGAR","TSPAN13","PEA15","FAT1","INTS6L","SMAD7","CYSTM1","ORC1","CYP39A1","HLA-DMA","GRB14","KCTD4","LITAF","NONAME889","VNN1","MGST1","UBE2T","CPXM1","DBN1","SMAP2","ERAP2","CDKN1A","TNFSF10","S1PR3","CYBA","PKM"
"389","EVA1C","TMEM14A","DOCK8","INTS6L","PKM","PHGDH","TIAM1","GOLM1","TCF4","STARD10","RNF144A","RSPO3","ATP1B1","FAM107B","CTSH","ARRB2","ZNF93","CAT","ARRB2","CD38","PLD3","TIMP2","MBOAT2","RMI2","KANK4","LINC00664","SH3BP5","FAM114A1","LINC00853","SLC16A3","RBL2","ALDH1A3"
"390","PCDHB16","PKM","VCAM1","NONAME715","LINC01116","ATP1B1","PRKCD","HAS2","NDC80","DDIT4","IRF2","NDN","DFNA5","TUSC1","HSD17B11","TXNIP","MICB","MSMO1","DHCR24","MLLT3","HCP5","CITED2","ROGDI","ZBTB8A","ITGAV","TLE3","SLC7A5","FGF2","ANXA3","MMP1","NAP1L2","IER3"
"391","FMN2","MAD2L1","CD69","DNMT3B","BAG2","TNS3","IL17RB","SERPINB9","GIMAP8","TMEM173","ABCC4","SQRDL","TRIP13","LTB","CTSZ","STX3","PEG10","SLC19A2","ALCAM","AKR1C1","GGTA1P","SLC7A11","SLC16A14","DSG2","HMGB2","CXORF65","MIR22HG","ASS1","SEMA4D","TPD52L1","H1FX","PLAC9"
"392","RFTN1","IGF2BP3","SQRDL","SDHD","RUNX1-IT1","TUBB6","RASSF5","TCF7L2","KIAA0101","TC2N","SLC48A1","ROBO1","LGALS1","MYC","DPP4","TM6SF1","ASNS","BNIP3","DPYSL2","BAG2","DOK3","SLC16A3","NUCB2","ASCL1","BNIP3","OLIG1","DLG5","BICC1","ABCC3","CDC42EP5","IKZF1","CCDC114"
"393","ZEB1","NUF2","LYN","DTX3L","MAB21L2","GGH","PDGFC","DEPDC1","VAMP5","DKK3","NMI","EFHD1","HJURP","TNS3","SLC23A1","MGST1","MCM3","ATP10D","IGF2R","HBQ1","GPR34","MET","CD177","NPPB","MFSD6","BST1","CRIM1","RAB31","HLA-E","SDC4","CD44","FAM198B"
"394","ZIC2","CKS2","PYGL","PAICS","MGST1","MLLT11","PSTPIP2","NONAME896","TNFAIP8L1","ERMP1","SLC2A1","AKR1C3","CKMT2","PSMB10","SUCLG2","LILRA6","VLDLR","OVOL1","GRN","TFRC","KCNE3","COLEC12","GGH","RNF157","NRCAM","S100A4","CELF2","GEM","TEX9","FAM198B","SNORD104","GPC4"
"395","FAM171B","ELMO1","APOBEC3G","SPC24","CPQ","CLIC2","TCIRG1","MCM5","MYO6","CMAHP","PSAT1","PRRG1","LRRC49","PAICS","PXMP2","COTL1","NEFM","EP300-AS1","ARHGAP31","STXBP1","FCGRT","LTBP2","S100A6","CRNDE","MPDZ","CSGALNACT1","SYNE1","EPYC","SNN","PAM","IL18RAP","TENM4"
"396","ATP6V1G2","KIAA1551","HJURP","MSH2","NEBL","FSTL1","SIRPA","EZH2","GMFG","TSPO","RACGAP1","ARMCX1","UNG","NONAME778","PHYH","GZMH","DDIAS","GBP3","TMEM176A","CMSS1","FLNA","BAG3","AREG","GSTA4","ZNRF3","PTX3","NFKBIA","PDGFC","TTC39B","TBC1D8B","RGS10","IL1R1"
"397","GPC4","PPM1K","C17ORF99","TSEN2","BCAT1","PIK3CG","LMO2","CDKN3","SQRDL","ZSCAN31","INPP5D","PDE1A","FAM71E1","BASP1","SRD5A2","RPS6KA1","MCM2","YES1","GAL","NDN","ALDH1A1","NAP1L3","LMNB1","IGFBP3","C4ORF48","RILPL2","OPTN","PTGR1","GOLGA8A","ADGRL2","CBLB","BAMBI"
"398","BMPR1A","OXCT1","DOCK2","MTHFD1","DACT1","ACKR3","GLIPR2","HSPA2","ME1","CRNDE","SLFN11","DLGAP5","HSPBAP1","DDIT4","PRR34-AS1","GNLY","ZNF738","CREG1","CEBPB","CDKN3","FAM26F","EPB41L3","G0S2","LRRC49","SRPX","CD55","TNFRSF11A","FBLN2","GPRASP1","FAM107B","NONAME681","AOX1"
"399","HES6","SKAP1","KCNJ2","REXO2","RIN2","CD38","ARHGAP15","VIM","LOXL2","VAV3","ATP1B2","CDC20","CMTM8","NAALADL1","SLC7A9","TRAF5","LGALS1","GSTP1","ALAS1","PROM1","CLEC4D","CENPF","HLA-DPA1","ORC6","TUSC1","GPX3","TSHZ1","CXCL16","MSC-AS1","CTSK","BTBD11","PRB1"
"400","SCARA3","TMEM263","KAT2B","CDCA7L","ADGRG6","CDK4","RRAGD","EPHA1","CCNB2","GSTA4","CYBRD1","FOXD1","TAF5","CPNE2","LACTB2","WWC3","PRKCDBP","TUBA4A","FNIP2","SULT1A1","FYN","ANXA1","C10ORF11","WNK3","SCG5","RRAGD","RFTN1","FMO3","MLLT11","LTBP1","FKBP11","GBP3"
"401","SYT1","NCAPG","LBH","TIMP1","MMP3","TRIP13","FAM129A","PCDHB5","DBN1","NDRG1","RPS6KA1","MFAP2","PON2","BIN2","SOWAHC","CEBPB","EPHA1","SLCO4A1","ACO1","PXMP2","CTSL","NAV3","NXF3","HEY1","MMD","IL10RB-AS1","LGALS1","CORO2B","PTGER2","RGS5","JUN","NDRG1"
"402","SNCAIP","SLAMF1","HEPACAM2","BLM","ITGB5","CDKN3","EGLN3","ARMCX1","ATP1B1","RHBDL2","TUBB6","NONAME69","WASF3","VAMP5","SLC22A18","LMNB1","BCL11A","NIPAL4","MSC-AS1","CYP2E1","TIAM1","RAB34","CENPW","CKB","MSANTD2","SQRDL","IFIT3","TMEM173","KIAA0226L","FAM129A","CAPN2","MCAM"
"403","PLTP","SETBP1","LTB","PKIG","PRUNE2","JADE3","ME1","PCDH18","TRIP13","SLC25A24","DTX3L","ADIRF","TSPYL5","BEX5","SLC47A1","MLKL","PRC1","PRDM1","WIPF1","HMGB2","SULT1A1","FBLN5","SPC25","SFTA3","BIRC5","PPP1R3B","TXNIP","ITGB5","PLSCR4","TRIM22","TNFAIP8","NXN"
"404","TPST1","GINS1","S100A6","FAM117A","RANBP3L","NONAME813","CLIC4","TPD52","PTGFRN","VANGL2","GFOD1","CH25H","TSPAN12","HGF","ABRACL","TGFBI","S100A11","ADGRF4","CD4","RMI2","PSMB8","HAPLN1","INHBA","CXXC4","CENPA","KCNJ2-AS1","FCRL3","EIF1AY","WIPI1","BASP1","BTG1","IRX5"
"405","CHD7","TMC8","GNG11","SASS6","GBP3","IFI44","ARHGAP18","SOX4","SHCBP1","ATP10B","HMGB2","USP53","TUBG1","SEPT6","GCH1","FERMT3","SDC4","EMP1","TBXAS1","GCA","AP1S2","PMAIP1","GINS2","PSRC1","UBTD2","LAMP3","ANXA6","MXRA5","PTK2","C1ORF54","MIAT","CRLF1"
"406","SCN1A","LMNB1","SERPINA1","PIEZO1","KDM5D","KIF11","CXCL2","VSNL1","COLEC12","TXNIP","C8ORF88","ADGRF5","RNF34","GCH1","PLA2G16","PIK3CG","NONAME645","SLC46A2","GPR183","HACD4","SLC40A1","PSRC1","MLC1","TRIM24","DDX3Y","IMPA2","GFOD1","HEY2","ZMYND12","GBP1","PTGER4","FOXQ1"
"407","SYTL2","GSPT2","TM6SF1","UROD","CLIC4","HIST2H2BE","DFNA5","NEFM","NID2","SLC9A3R1","FAM234B","MN1","CRYZ","RAB31","STAP2","PTGER2","EPHX3","CRNN","C3AR1","IFI44","IFIT1","POLE2","GJB6","GABRP","E2F5","PADI2","TMEM200A","BNIP3","PSMB9","ZCCHC24","APOL3","TSPO"
"408","CELF2","HLA-E","ITGB2","PRR34-AS1","KCTD12","SPRY2","GPR65","SLC16A10","BUB1B","DHRS3","PRR34-AS1","HSPA2","ASF1B","ME3","PANK1","FLI1","LINC01356","RAPGEFL1","FRMD4B","TSPYL5","MIR22HG","TMEM173","E2F8","ISL1","CRMP1","LINC01270","PSMB8","ADAMTS2","KLF2","CLGN","COTL1","MLLT11"
"409","DTX4","GINS2","CEBPD","S100A8","MARCKS","ASB9","COTL1","BTBD3","KLHL13","GJB5","DENND4A","NOV","GNG12","SPARC","FXYD1","LILRA1","CTH","DLX5","RCSD1","NUCB2","MILR1","HJURP","HMGB2","NUAK2","PRIMA1","CASS4","STK17B","LEP","AP1S2","PKM","SMAD7","SLC46A3"
"410","NCALD","CD9","KLRF1","ETS2","TIMP3","ADA","GLIPR1","SRPX","PTGS2","HCLS1","S100A6","CEP55","THBS4","NPM3","HAO2","KIAA0101","SPRY2","STAP2","GCA","HOXA10","TXNIP","GAS2L3","G6PD","FAM169A","SLC38A1","EDN1","RIN3","FMOD","TCEAL9","TGFBR2","ILF3-AS1","CTSZ"
"411","TRIM22","NONAME669","CHAC2","PSMB5","AOX1","CENPW","SMAD7","APP","SGK1","HLA-B","PER1","PRSS12","LHX2","TK1","NMI","MS4A1","PPIC","ISL1","TFRC","MLLT11","GBP3","SACS","WIPI1","NETO2","FSTL5","ARL5B","CXXC5","NONAME780","MICB","ADGRL4","HACD4","RAB34"
"412","IL17D","JUN","LILRB2","TPSAB1","LARP6","TAGAP","SLC25A43","RMI2","PRR34-AS1","CLDN8","IL15RA","LMNB1","BARD1","PLAGL1","SGCE","RASGRP2","PSIP1","CDKN2B","DOCK10","CDH1","CEBPB","GALNT5","GYS1","C12ORF75","BLM","CEACAM8","CRY1","NCF2","TMEM154","CAMK2D","S100A11","SDC4"
"413","LINC00341","IL4R","CDCA7L","LDLRAD3","FGF7","CXCL3","APOE","MICB","MICB","H1FX","TNFRSF1B","RHOBTB1","PPEF1","CHRDL1","SLC2A10","SMAP2","PMEL","PTGFRN","DUSP6","DLEU1","ARRDC4","MCAM","GPI","NTN4","SLC25A24","PFKFB3","IER5","LMCD1","SERPINB1","RGS17","SUCLG2","HLA-B"
"414","VCAM1","MCOLN2","CENPE","NOP16","TIMP1","NPDC1","SYT17","PDLIM1","PKM","CAPN2","KIF20B","RGS4","IQCD","HCK","MIF","CAT","LINC01405","IFFO2","IER3","CTSS","TNFAIP2","ANPEP","TIMP2","UBTD2","EXTL2","MX1","ATP1B1","EXT1","LRBA","TNFAIP3","MLLT6","EXT1"
"415","RAB39B","SLC15A3","SLC22A16","PNPO","SMCO4","RHOBTB1","AQP3","GNA14","CDCA7","LOXL1","CKAP2L","TMEM173","DUSP14","ZNF367","ACSL5","SH3BP5","VSNL1","ECM1","GGTA1P","FEN1","VAV1","PAPPA","SLC31A2","SERPINE2","PTX3","TSPAN2","BEX5","IL18R1","CASP4","LGALS3BP","SQRDL","TMEM263"
"416","DLK1","FAM129A","CCR2","MRPL21","TXNIP","GPSM2","TTC7B","APOC1","LRRC32","CXCL2","KIF18A","PRR15","TIPARP","UBE2E2","OCIAD2","PELI1","PRDM14","EFNB2","SLC6A12","FZD6","GPR160","ANXA6","UPP1","HMGCS1","GFRA3","NR4A2","TMEM2","SHROOM2","TSPAN2","ZNF804A","NONAME669","FKBP11"
"417","RAI14","NUP210","EPX","MGST1","KCNE4","SNHG21","COLEC12","MTHFD2","ADM","EPPK1","ICAM2","OSR1","NUF2","PM20D2","PSMB8","APOBEC3G","APP","NUPR1","PPIC","KIF14","ANXA5","ROBO1","CENPH","STOX2","DMXL2","PYCARD","GADD45B","HCK","ZNF385D","DIRAS3","FOXO1","C5ORF30"
"418","CD74","PRC1","LINC00341","CCDC138","STK26","NT5DC2","C3AR1","FGFR2","LINC00341","IFIT3","TXNIP","CKAP4","COPRS","RILPL2","PSMB9","PELI2","PTTG1","ARSF","LPXN","ADD2","IRF1","PKM","CHD7","PTMS","ITPR1","PLAU","DDIT4","FZD6","MFSD1","IL1R1","CCR5","RAB23"
"419","NPAS3","PLEKHA2","KCNJ15","MIF","FAM46A","PRKAG2-AS1","TRAF5","RAB25","SLC16A3","SYNGR2","ABCC5","PEAR1","IGFBP6","VAV1","BOK","TYMS","FZD2","TSPAN13","SAMHD1","TSTD1","ARHGAP31","HOXA5","FAM46C","CCNJ","LINC00839","CYSTM1","DOK2","ROBO1","PCTP","EPDR1","NONAME645","GAS1"
"420","BEX3","ALDH5A1","TCF4","SUCLG2","TMEM263","CD74","GSN","S100A11","PNP","SEMA4B","CLCN3","MIR503HG","BICC1","ANXA6","PLSCR4","GCH1","SLC1A6","YOD1","PYCARD","MGST1","KLF4","COPZ2","GLIPR2","TCF7L2","TFAP2A","WDFY3","CDK17","KDM5D","SAMSN1","NAP1L3","CCR6","AIM1"
"421","HLA-DQA1","CCNA2","LMO2","HK1","SUSD5","MRPL23","CITED2","SACS","NT5DC2","SGK1","SH2B3","ID4","PARP16","RAVER2","IGFBP1","VIM","PLK2","RHBDL2","HPGD","PIEZO1","LAIR1","MVP","KCTD12","INA","TMEM14A","CYBA","APOL6","CCPG1","MOB1B","GALNT12","RNF144A","MAP3K5"
"422","PRR34-AS1","MIF","RAB27A","PROS1","HHIPL2","PRC1","DHCR24","MCM3","SVIP","CGN","PRPS2","C11ORF96","FAM24B","HOXA5","YES1","C1ORF56","NDN","MREG","MPEG1","NUP210","PTGS2","BAMBI","GSAP","ANKRD1","TSPYL5","NMI","GLCCI1","LNX1","ANKRD9","PDE5A","ZBTB25","NONAME696"
"423","LYPD1","SEPT6","CENPH","SLC12A6","PDE1A","RAB38","DUSP5","PLK2","NUSAP1","NONAME363","PA2G4","FAM65B","SLC26A6","ITGAL","KAT2B","PTAFR","MYEF2","ADGRL2","DRAM1","MRPS2","KMO","DNM3OS","PDZD8","C8ORF4","SLC2A10","TBXAS1","SEMA4D","FAM171A1","STK39","YES1","S100A10","TOX2"
"424","SYBU","H1FX","SERHL2","CYB561A3","MORC4","IGHM","TMEM30A","MYO5C","SULF2","SMAGP","FAM65C","OSMR","KNSTRN","SPINT2","SLC16A4","VNN3","RNF125","ANXA2","SOWAHC","CENPW","FTH1","IER3","EMP3","ELOVL6","NR2F2","LGALSL","STX11","TRIM22","GP5","PRSS12","RPL11","DLX5"
"425","PEA15","HMMR","S100A11","ECI2","WWTR1","ITM2C","CHST11","NDN","ELMO1","PSMB9","GPCPD1","MXRA8","FER","PLXNB2","NDUFB7","CDC42EP3","NONAME826","PLXDC2","PRAM1","SLC14A1","ENTPD1","SGO2","SPINT2","SLC16A9","SEMA6A","RNF144B","SERPINE2","KIAA1644","PSTPIP2","CARD6","HECA","ADAM12"
"426","FAM13C","UBE2E2","COL17A1","MRPL37","COL14A1","CCNB1IP1","BAG3","BCL11A","KIF11","LDOC1","TIMP3","SLC40A1","PPFIBP2","SQRDL","ERBB3","KCNE3","PBK","MAP7","IFI16","SLA","IFIT2","CDCA8","APP","GOLM1","MRPL23","S100A11","TSTD1","LYPD6B","FAM122B","HMCN1","TNIK","PEA15"
"427","PRKAR2B","HLA-B","LRRN1","BCS1L","TBC1D8B","LINC01003","FSCN1","PAICS","IL32","PLAU","MARCH8","GINS1","SVIP","HOXA10","SPON2","IMPA2","ECT2","DEGS2","P2RX7","FAM216A","CAPN2","CENPA","KIF20A","TKTL1","SGCB","LINC00877","IFITM2","PRELP","ITGB3BP","PCDH10","LRRC8C","CKAP4"
"428","C16ORF45","MYO1E","PCDH9","ATP7A","CMAHP","PSMB10","PYCARD","CPE","LHFP","ALDH2","GMNN","SLC31A2","HOMER1","RGS2","PDLIM1","AZU1","SLC39A10","GAN","TTC7B","ANXA1","MX1","TSPYL5","NSUN5P1","ST6GALNAC3","FARP1","IFI30","BCR","C15ORF52","FAM107B","ANXA2","NMRK1","ANXA6"
"429","ASAP2","HECW2","PLCL2","LGALS3","RNF144A","SQRDL","CAT","TMEM178A","MGAT4A","BMPR1A","ZNF788","AHRR","TFAP2D","GPR65","ASL","NAP1L3","AP1M2","DEGS1","COTL1","MAP3K5","JUN","DACT1","IRS2","APOA1","PRIM1","SPP1","PSTPIP1","PMEPA1","IFI16","ATXN1","SNX10","PDGFC"
"430","FOXG1","PSMB10","CENPW","FRAT2","CASP4","KLHL13","ATF5","CXCL5","FAM49A","RGCC","PRKDC","NR3C2","NONAME737","AHCY","C11ORF54","DOK3","TCF7L2","MIF","SPRY2","HES6","MAP3K1","S100A11","FANCI","DLG5","RHOBTB3","CEACAM3","VPS37B","TUBB6","LMO2","STC1","MAN1C1","DUSP23"
"431","ALPK2","KIAA0355","GGH","ITGA2B","CD55","CPNE2","ACOT7","DDIAS","HOXA5","ADSSL1","SRXN1","GLIPR1","CD83","HBEGF","FTCD","PYGL","BEX5","PON2","SMPDL3A","MTFR2","NAGA","BEX1","CA2","BEX3","ERC2","BEST1","TC2N","DYNC1I1","CTNNAL1","USP9Y","AQP3","RAC2"
"432","MYO5B","PLXNB2","GINS1","MYBL2","EFS","CYFIP1","RPS4Y1","HIST1H4C","TRIM22","MX1","MGST3","WASF1","GEM","RRAGD","SLC25A43","FGFBP2","UBE2T","TMEM255A","CD81","CHEK1","HLA-E","CDC45","ALYREF","LDLRAD3","ECT2","LINC00189","CCR5","SLC22A3","SSX2IP","NDN","LAIR2","CEBPB"
"433","SLC2A10","P2RY10","CENPF","BAG3","TMEM100","SPIN4","PSMB8-AS1","MEX3D","IER3","IER3","CD53","SCG2","RTN4IP1","COTL1","EFNA1","DOCK4","ENAH","CRYAB","PLXND1","CENPF","MFNG","KIF14","DOPEY2","PODXL","CYFIP2","DUSP5","FAM101B","DLG5","C10ORF128","PRR34-AS1","CASP8","SPP1"
"434","FRMD4B","NET1","NONAME155","CKLF","VASN","TRIM58","EPHX1","PCDH8","CENPK","STK39","ASCC2","PLPP4","WDR53","CYFIP1","ANXA5","LRG1","ZNF708","DLG5","SLC41A2","RFWD3","APOBEC3G","OIP5","MARC1","H1FX","DBF4","ZFP36","FAM78A","SLIT3","SERPINI1","ALCAM","FAM169A","EMX2"
"435","PKM","DOCK10","SYK","GUF1","WISP2","SCAMP1-AS1","PKD2","PDPN","NDRG4","IFI44","GTSF1","C8ORF4","KCTD13","RMI2","SOD2","DSC2","HACD1","ACSL1","SLC25A43","MRPL23","DAB2","NCAPH","AHSP","CEP55","SNX10","SLC15A3","NEDD9","VIM","GATA3","PLP2","APOC1P1","RARRES2"
"436","NUDT11","DUSP2","ABCB10","SLC22A4","FKBP10","FANCL","GJB2","PRC1","LRRC8C","PIR","PDIK1L","PLPPR4","NETO2","MIR155HG","DCXR","TLR6","CYYR1","C12ORF29","GAS2L3","ABHD14B","KCNMB1","ARMCX1","FYB","EPS8","SERPINH1","TCIRG1","LINC01215","MFAP2","GCH1","SERPING1","IRF1","PGF"
"437","DMXL2","TRIB2","NMI","CAPRIN2","MEOX2","APOBEC3B","RUNX3","NONAME715","TSPAN13","LIMA1","TNS3","PLAGL1","TOR2A","SRM","HTRA1","TSPAN2","MTHFD2","SLC39A6","MSMO1","CDCA7L","OGFRL1","PLPPR4","ELMO1","LINC01224","TIGAR","NFKBIA","SYK","CARD6","STOM","HIST1H2BD","ANXA6","FZD6"
"438","FAM150B","CYSLTR1","IL1R2","HMGB2","UCHL1","NONAME778","SNX8","BLM","SMAD1","RASSF6","GBGT1","GULP1","ITGB3BP","KLF4","SMIM14","ZNF467","TSPYL5","EPS8L1","SERPING1","MS4A3","TIGAR","CENPW","PKM","MIR124-2HG","SATB1","RPS6KA1","GLIPR1","MXRA7","GZMK","KIAA1644","LDHB","COTL1"
"439","NBEA","RMI2","TSPAN2","PRMT5","ITGAV","PAICS","SMCO4","KCTD3","MARCKSL1","DNAJA4","MIR22HG","CCNB1","CCL20","CDT1","HIST1H4C","RAB11FIP1","KIF2C","SLC35F5","SLC27A3","SEPT6","AHR","ANXA2","PRR34-AS1","RNF144A","MIAT","KDM6B","RASA2","GLIPR1","VWA8","CD248","LGALS1","PLP2"
"440","CDCA7L","AURKB","CLIC2","ANXA1","MIR22HG","RAB32","ARRB2","GSPT2","SUSD5","CASP4","NDRG1","NECTIN3","GNA11","EMP3","ECI2","SECTM1","STRBP","GALNT3","P2RX4","PLIN2","H1FX","ARSJ","DGKZ","NOG","H1FX","KATNBL1","ALYREF","TCEAL9","CDK2AP1","RNF128","SYTL3","CRIM1"
"441","HLA-DMA","E2F8","BCL11A","KIF2C","SERPINF1","NMI","AVPI1","TNFRSF21","PTPRB","ARAP2","WDHD1","ZNF367","THAP10","CD74","PLLP","NMI","KIF14","AKTIP","APOBR","SLC38A5","LINC00341","RHOC","EIF1AY","TUBB6","TUBA1A","NLRP1","TIGAR","RNF182","CAPN2","SACS","GLCCI1","PXDC1"
"442","SH3RF3","PAWR","VIM","AQP3","GULP1","DUSP1","RBM47","ORC1","TSPO","TANC1","HK1","CDK1","COX4I2","RHOBTB1","AGL","RASGRP1","SLC38A1","SMAGP","ACSL5","SLC43A1","RAB34","MGLL","OSBPL1A","MTHFD2","PFKM","DYSF","SEPT1","NQO1","SMIM5","RELN","PTPN4","MGLL"
"443","TUBB6","GLCCI1","PTPN6","POLQ","FST","PM20D2","ABCG2","SKA1","GLIPR1","CAT","MTHFD2","ABCA8","C9ORF135","LRMP","ITGAV","GIMAP1","GNAI1","PSAT1","ICAM1","ALDH5A1","FCGR2B","FKBP11","CMTM7","NONAME826","CDKN3","EREG","MTHFD2","TMEM263","NAT8B","ZEB1","NFKBIZ","AEBP1"
"444","FLRT3","SP140L","GMPR","BOP1","HAS2","BEND5","PLA2G4A","THY1","PDIA5","MIF","AARS","RCN3","C16ORF74","NONAME68","CYSTM1","TLR5","BIK","CRYZ","PSMB8","FSCN1","GLT1D1","OLFML2B","NTNG2","MAL2","FAM46A","BCL6","CREM","ARL4C","KIAA1211","PLAU","PSIP1","MIR5195"
"445","UBTD2","CDKN3","AOAH","SQRDL","PXYLP1","RASGRP2","S100A10","MIS18A","JAG2","RAB31","TP73-AS1","TRIM22","SMCO4","PDIA5","FSTL1","LRRC25","DACT1","G6PD","SPINT1","EXO1","ICAM2","AIM1","GADD45A","EPCAM","SHROOM3","HLX","CLK1","ENPP4","SH3BP5","CXCL6","SP140L","BEX3"
"446","TRIM36","NDC80","BBOF1","DHRS3","EGR2","MYO1F","TFRC","FBN2","SERPINB2","S100A4","TGM2","RARRES2","DTL","TIPIN","BAG3","TNS3","DHCR24","TGFBI","DPEP2","DSCC1","RNF130","GULP1","CEACAM3","SPON1","ARHGAP19","LILRA1","MLC1","RRAD","SNX10","HGF","SLC46A3","RAPH1"
"447","PBK","WEE1","PYCARD","MTHFD2","RGS2","PDIA5","TNFAIP8","ATP1B1","NCEH1","PYCARD","CLCN4","S100A16","SQRDL","CMSS1","NONAME416","THBD","TSPAN13","PRDX2","KLHL6","MICB","SMAP2","CCNE2","IMPDH1","CDKN3","SLC16A9","MEGF9","ZNF708","DNAJB4","TGFBI","SDC2","NAP1L3","S100A16"
"448","ABCA1","PRKD2","ABCG2","SYK","FOS","PDLIM1","FCRLB","STRBP","NUF2","CXADR","RMI2","FMN2","PSMG1","HMGB2","ANXA2","BEX2","NASP","GPR137B","CITED2","NEDD4","CAT","HELLS","NCAPG","FUT9","CDKN2C","CD274","GPRIN3","RIN2","SPAG11B","SCG5","EPB41L4A-AS1","DPYSL3"
"449","ELAVL2","RGS2","SHCBP1","TGM2","METTL7A","HLA-E","JUN","TRIM22","TMEM30A","MAP7","JAZF1","C1ORF198","C2ORF15","C1ORF54","IBTK","ADRB2","PAICS","ITGA6","CLIC4","ELMO1","LILRB4","CKAP2L","NMI","SLC38A1","ENC1","CEP19","ARNTL","SFRP4","NCK2","NEFM","MLLT3","ADIRF"
"450","PLSCR4","LRRK2","CD79A","DANCR","ZBTB16","TESC","ARL4C","ADAMTS19","CARD8-AS1","S100A13","LHFPL2","KIF20A","EXT1","KLHL13","RGN","PSMB8","FBXO5","SLC39A2","EPAS1","PTPN6","STK17B","MELK","BLM","RGMA","ACVR2B","CYBB","JAZF1","BASP1","LAPTM4B","TMEM173","NONAME795","TGM2"
"451","CDKN2C","SQRDL","ITGA4","DHCR24","WLS","IL2RG","MRAS","HAUS1","PARVB","CD74","SPINT2","PITX2","CYB5A","PTPRE","PRDX4","DSE","FZD5","OAS1","DUSP2","TSPO","EMP1","EXO1","NLRC5","LINC01003","KDELC1","FAM13A-AS1","MIF","CAP2","C1ORF198","NCEH1","CDC42SE2","SIX1"
"452","SYNC","MAGED1","HIST1H4C","CAST","DPYSL2","TMEM98","HLA-B","JAKMIP2-AS1","TIGAR","HSPA1B","MAN2A2","CHRDL1","SLC39A10","MIF","SLC15A1","SP110","S100A13","PITX2","SLC43A3","AHCY","IFITM2","MCM5","LITAF","PTTG1","ZNF439","CX3CR1","VAV3","PCSK5","BTN3A2","SLC40A1","NOG","GPX7"
