"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"410","FOXO1","PRDX4","C10ORF54","GLIPR2","FKBP9","ORAI2","FLNC","DHCR24","HIC1","NPM1","ERRFI1","TMEM91","SCARNA6","AHNAK","PTK2B","SBDSP1","ATP2A3","DDX3Y","HIST1H2BH","TPST1","MT1E","DPP4","EIF3E"
"411","PTX3","PECAM1","TIMP2","PKIB","HIST1H2BF","PPP2R3B","PARD3","ISG20","HAND2","STXBP2","DST","GK","VIM","COL12A1","TNFSF8","SLC2A5","FAM171B","SLC43A2","GLTSCR2","HIST4H4","CHAC1","MEIS2","RPS12"
"412","RHOC","SSR4","BDKRB2","GBP1","KIAA1462","SLC9A3R1","TPBG","HIST1H1B","RARRES2","HPGD","JUNB","FAM213A","OSTM1","CDKN1A","MYEOV2","AJUBA","PTK2","TRANK1","PTPN4","ITGB3","C1R","TIMP2","SNHG1"
"413","MYOF","CLIC4","CKAP4","FADS1","SEPT10","BCL2A1","LGALS1","RPLP0","TXNIP","CKS1B","NLRP2","CD300LF","HIST1H2AK","NT5E","GCA","ANK3","ATP5G3","RNU5F-1","YPEL1","SQLE","G0S2","PRRX2","TPM2"
"414","PC","EGR1","TMEM98","TTYH2","ANXA1","PNPLA6","SLC38A1","ATP5S","ANXA1","CD300LF","APP","MARCKS","COL1A2","RBFOX2","CRISPLD2","SCARNA6","PDZD11","MARCKS","VAMP8","FAM43A","CDKN1A","PDLIM2","UCP2"
"415","LCP2","NLRP1","CPEB1","VWCE","NOTCH1","SPINT2","TSPAN15","TRIAP1","TMEM47","ZNF22","IGF2BP2","ACOT13","MSC","MSLN","P2RX1","EFEMP2","NDUFA12","ABTB1","HIST1H2AI","KCNG1","RAPGEF1","ANXA1","SEPT9"
"416","ARHGDIB","ID3","PCDH18","SLC2A6","VIM","AMDHD2","MYC","HHLA3","CRISPLD2","HLA-DQB1","INHBA","HLA-DPB1","KPNA2","SORBS3","GNG2","MYO1C","COX16","RASGRP2","FYB","MARCH3","PECAM1","RARRES1","CHMP7"
"417","HIST1H4B","SNORA2B","ANLN","CLIC4","ABLIM1","DENND1C","CST6","NUCB2","G0S2","LSM5","FSTL1","VIM","IGF2BP3","VIM","LGALS1","EXT1","SEPT11","ARHGAP4","AES","FAM167A","ANKRD1","UGDH","FAM117B"
"418","ANXA3","SCARNA13","S100A16","RARRES3","TK1","ITPKB","CKAP4","PTPN7","MMP19","SNRPC","PLEKHG3","SMEK1","GK","DYSF","LRRK2","PDLIM2","SLC25A27","PFKFB4","SIGLEC7","FLNA","SNORA53","CSPG4","PIM1"
"419","KIAA0040","MAGED1","ANXA1","HNMT","SLFN11","CYSLTR2","FBN2","HBM","SDC4","CDK2AP1","AP1S1","HIST1H4E","DOCK7","TRIB3","ARL4A","RGS2","TOMM5","IFI30","ID2","MEIS3","FBXW5","THBD","SASH3"
"420","PPL","ITPR3","PRELP","KIF2A","ALPK3","RXRA","MAPK13","CD53","RPS16","RPS6KA1","DBN1","DAPK1","TMC6","HIST1H2AH","HLA-B","PDE10A","RGS7BP","PIK3CD","CTBP2","SH3TC1","IDI2","RAB27B","PLK3"
"421","SCARNA6","CD9","SYNC","GMFG","EPHB2","SVIL","CARD10","MRPS9","CBS","FES","ACAT2","FAIM","TIAM1","HOXD11","RELT","MSC","SNRPN","HRH2","CYFIP2","CARD16","PIM3","SEMA3A","SOCS3"
"422","FMO2","FAM195B","PLXNB2","HCP5","HIST1H2AK","ADAP1","CKB","MTCH2","COL21A1","FHIT","TAGLN3","FN1","SEMA5A","H2AFY2","GCH1","PLAUR","TMEM59L","IFITM3","FOSL2","CCDC80","RPL13AP5","TNC","RPS4X"
"423","LGALS9","RPL10A","FGF2","KDM2B","ART4","FGFR2","PDLIM1","SLC48A1","HMOX1","MFAP2","C3","PRKRIR","GPR137B","L1CAM","TRIB1","IP6K3","NBEA","ITGAL","HLA-C","KSR1","HSPA2","CD151","EEF1B2"
"424","NOVA1","CHPF","HERC4","ACSL5","NBEAL2","HLA-C","KCNG1","PMP22","TEAD1","PRDX4","CKS2","ARHGAP4","HIST1H3J","PLEC","SNORA14A","MYOZ2","NDUFS5","ST8SIA4","TLE1","PPP1R3C","ESRRA","EPHB2","CYTH1"
"425","FAT1","TRIO","S100A4","SORT1","IL6ST","PNPLA2","NOTCH3","STOM","HIST1H3B","SPCS2","SLC37A2","HEXB","PHLDA1","RCN3","RXRA","CCL2","DMD","ROPN1L","FASLG","S1PR2","RHOU","F2R","PPA1"
"426","PLS3","DANCR","FMOD","DENND1B","SPTBN1","ARHGAP27","PDLIM7","ATP5J","ID2","HSD17B11","DFNA5","GSN","SEPT4","CNN2","MCL1","CLEC3B","DAAM1","TYMP","DOCK10","TMEM51","IDH2","GALNT12","SELT"
"427","TERC","SCARB1","LMO4","LGALS3","RPL37","PARP10","PFKP","WDR12","LARP6","MAP4K1","RAB32","DUSP6","FERMT3","TNFSF9","RASGRP4","SPATS2L","NAP1L3","C17ORF107","HIST1H2AB","HIST1H2AE","PRRX1","OCIAD2","S100A4"
"428","DCLK1","FAM102A","ADAMTS2","MFSD12","HIST1H2AL","COTL1","HIST1H2AM","JAZF1","TMEM200A","HINT1","CRIP2","RAB32","CYP51A1","SLC25A23","SGK1","MT1X","CACNA1A","INPP5D","ARHGEF3","FICD","PEBP1","GAS6","RPL26"
"429","CTSK","TP53I13","RHOC","USP53","ICA1","MIAT","KLF5","PCK2","MSMO1","LITAF","CDA","HIATL1","FEZ1","NLRP2","NLRP1","NETO2","CFL2","R3HDM4","P2RY8","HIST1H2BE","PPARGC1A","NFIX","RPL35"
"430","CTSZ","RPLP0","RAI14","AGFG2","HIST1H2AD","ANPEP","ADAM9","RPS19","C1QTNF5","PTMA","HIST1H2AH","LCP2","LGALS1","HIST1H2BM","SCARNA2","AHNAK","MAGED1","HK3","PHLDB2","VCAM1","ART1","CERCAM","SELM"
"431","IL6ST","FAM107B","TCEA3","AUH","BMP4","PLEKHA2","STON2","TUBA1C","MFAP2","RIPK2","PXDN","FNIP2","ETS1","MICAL2","HMGN3","NTM","HHATL","NLRP6","CD99","COL11A1","LMO7","TBX18","GRAP"
"432","PRRX1","ARHGAP24","ARNTL2","EMB","PNP","CD9","CD9","HADH","TNS1","LIMD2","CST3","PTPLAD1","HIST1H4J","TNFAIP2","FCGRT","MRAS","NDUFA8","IFIT3","BNC2","LRIG1","HSP90AB1","STEAP2","PKIA"
"433","BOK","ATHL1","HIST1H2BO","RPS27L","CKAP4","ANKRD33B","ADM","KIF18A","RRAS2","SERPINB6","CDCA7","CYB5A","CLIC4","PRKCZ","METRNL","LPAR1","MGST3","SEMA4A","DOCK8","PTPRS","MTUS1","JAM3","NMT2"
"434","PYGL","RPS18","NTRK2","IFFO2","PAPSS2","IL6R","ARHGEF5","MAGOHB","C1ORF198","BIRC5","EPAS1","SLC29A3","TSPAN4","NRP2","BTG2","HSPB1","SPTAN1","GAPT","IRF1","ADORA2B","MAST2","HAND2","WIPF1"
"435","CSPG4","RPS4X","FOSL2","DNASE1L3","PTK2","TUBGCP4","PSD4","GNG5","TMEM45A","TNFAIP2","GALNT14","CTTN","ANK2","TXNDC5","S100A10","ITM2C","AKAP7","PPP1R3B","HIST1H2AH","PALM2-AKAP2","ASAP3","TPM1","FAM101B"
"436","HSPB6","ANO9","TBX4","SGPL1","TMEM88","UBASH3B","LTBR","GYPC","S100A11","ATP5L","HIST1H1B","C11ORF45","KIFC3","YES1","ID2","ACTN1","SPINT2","TXNIP","UCP2","ANXA2","TAGLN","CRABP2","MPP6"
"437","PTPRG","SPATS2","ISM1","RAB11FIP4","FAM107B","PGD","CLIC4","C10ORF32","TFPI","TIMM13","LRP11","VAT1","SEMA4C","SERINC2","RAB32","CLDN11","CKAP5","REPS2","PDE6G","PLEK2","KLHL21","CTSZ","RPL4"
"438","ZEB2","RPS5","CTNNAL1","RNF19B","ITGA3","MGAT4B","HSPB1","KRT13","CAMK2N1","ANXA1","LAMB2","SPINT2","ZFYVE16","HIST2H4A","SLC31A2","NREP","RAB33A","SYK","HLA-E","ADAMTS1","ID3","LBH","CDCA7L"
"439","CLIC4","BASP1","LGALS1","CYB5A","SNORA53","CYBA","TNNT1","LAT","NES","HLA-E","STC2","TMC6","DNAJA4","EIF4EBP1","FLNA","SLC14A1","KIFAP3","BEST1","IL12RB1","PDLIM7","TNFRSF1A","SEPP1","SLC40A1"
"440","BCL6","GNL3","SRGN","TNFRSF1B","HIST2H4A","PFKFB4","NT5DC2","BLM","HIST1H4J","PLAUR","AHNAK","NRIP3","COL5A3","FAM114A1","NR4A2","STAC3","CD83","S100A11","S1PR1","PLEC","PDE4D","NTM","RPL23A"
"441","FLNA","RPL5","HIST1H3B","NFKB2","PKN1","ACTN1","TJP2","TMEM14B","S1PR2","KIAA0020","BASP1","SCARNA2","HIST1H1D","CLU","PLIN2","APBB2","AHI1","PLK3","ANXA1","MYO1B","C10ORF10","FAM198B","FAM13A"
"442","DOCK9","TFEB","CDKN1A","GRAMD1A","CTSZ","TYMP","CNKSR1","BCCIP","MN1","LXN","DLL1","DNASE2B","WARS","CPA4","S100P","FST","DGKG","MPZL3","MGAT4A","GPR1","PPP1R3C","LRIG1","PSTPIP1"
"443","PLSCR4","TRIB2","DPYSL3","SLC43A2","CDC20","HBB","RHOB","RPA2","NCKAP1","PRDX1","PKMYT1","FLNA","GNG2","HYAL2","SOD2","GRAMD3","STXBP1","NUAK2","MAP3K8","ICAM1","SEPW1","PTPRF","HIST1H2AD"
"444","TFPI","QTRT1","PODN","SOCS1","DAB2","TXNIP","TNFRSF21","FANCI","TFPI2","TXN","NCKAP1","ACOT2","TNS3","HIST1H2AK","OLR1","PDLIM7","KLHL13","WIPF1","TCIRG1","BASP1","GATM","ACTN1","IKZF3"
"445","RASSF4","IER2","BCAT1","MTHFD2","MDFI","ITM2C","ANXA1","REPS2","TMEM158","TEC","MRC2","HSD17B14","FADS3","PLA2G16","SH3TC1","MYO18B","ITGAV","RBP7","PARP15","PFN2","SLC22A5","SLC38A5","AP3M2"
"446","S100A13","LINC00426","P4HA2","PPA1","PHLDB2","SRGAP3","B4GALNT4","FOPNL","CALU","CD99","CD9","TNFRSF14","RRAGD","ARHGAP23","SLC2A3","C10ORF54","NDUFB2","BTG2","RHOBTB3","S1PR3","ATP2A2","RCN1","PLCL2"
"447","RGS2","TMC8","FBLN1","HAAO","CDC42BPB","AOAH","HIST1H3G","ELMO1","ADAM9","NMI","VAMP8","ANXA1","HIST1H2AM","PVR","CREB5","PPP2R3B","SH3BGRL3","FAM212B","DTX3","HIST1H2AK","PRKAG3","SLC40A1","ARHGEF6"
"448","GAS6","STARD5","TBX18","NAV1","FERMT3","ARHGEF1","SPTBN1","CA8","C9ORF16","SLC25A6","CTSC","RGS1","TOM1L1","LOX","SCARNA23","RBFOX2","HIGD1A","JAK3","GNGT2","PPFIBP1","RPS16","EDIL3","RPL32"
"449","DUSP1","GOLGA8A","NOTCH2NL","IL32","TCN2","EFHD2","TRNP1","CKAP2","ATP8B2","SPTBN1","SLC16A3","TNFAIP8L2","LTBR","WT1","GLIPR2","IL33","NDUFA1","UTY","ABLIM1","VEPH1","DST","PKIG","RPS23"
"450","PHLDB2","POU2F2","FLNA","IFNGR2","TNFRSF10B","SLC16A14","DPP4","C9ORF156","TK1","RPS18","DSE","SNORA71C","SORD","GNG12","SIGLEC14","HIST1H4B","SEMA4G","KIAA0825","IRF8","JAM3","SCHIP1","HAS2","JUN"
"451","NCKAP1","BST2","OSR1","IRF1","FRY","RPPH1","HES2","MTHFD1","ENG","RHOG","TFAP2A","MAN2B1","ST5","NFE2L3","SMAD3","MSTN","TMEM130","SLC45A4","STOM","AHNAK","MAPKAPK3","PTGS2","ARAP2"
"452","ADAMTS2","LILRB1","CDC42EP3","CASP7","NEDD9","TRIB1","SERINC2","KIF4A","EPB41L3","VIM","TRIP6","CCL24","TK1","SNORA53","TLR1","C12ORF75","SLC20A1","CDC42EP2","CYBA","LIN28B","PBXIP1","AK5","LEPROTL1"
"453","ANXA2","WAS","SUSD5","HMOX1","LRRC32","LIMK2","GALNT6","CLIC1","SOX9","RNF24","EPS8L1","UCP2","RHOC","SRGN","RAC2","EBF3","UBL3","CASP4","SPATA13","S100A4","S100A13","CREB3L1","EPHB6"
"454","LGALS1","RGS16","THBS2","CD4","MOV10L1","PITPNM1","CCDC88C","REXO2","SDC2","ISG20","KCNG1","HLA-B","MOCOS","CXXC5","NFE2","PTGDS","NOMO1","ARHGEF11","NBEAL2","TIMP2","SLC22A3","HIST2H2BA","NPM1"
"455","PDE8B","HIST1H3D","HOXA10","GBP2","ACTN1","NEDD9","S100A13","ATP5G1","PRDX4","SDPR","FRMD6","PLEKHO2","NLRC5","PALLD","ODF3B","HSPB8","NOVA1","NOTCH1","HIST1H3C","RGS4","AES","PID1","HIST1H2BI"
"456","MMD","NKX6-3","CALU","OAS1","TIMP3","RNASET2","CST3","GGH","PLTP","TFDP2","SQLE","CYP51A1","PEG10","PEG10","PLXDC2","CCDC141","TTTY15","HIST2H2BF","HIST1H3J","SLC2A6","PER1","METRNL","SRPR"
"457","LGALS3","SWAP70","ID4","EHBP1L1","ARHGAP27","ARRB1","ARHGEF16","TMEM14A","SELENBP1","ABLIM1","ZNF219","CASP1","MGST1","EFEMP2","PIM3","HGF","DYNC1I1","DHRS13","HIST1H2BL","GLIS3","PPP2R3B","GAS1","RPS21"
"458","PDZD2","TSTD1","METTL7A","MPHOSPH6","AGRN","MAPK8IP3","FZD6","TOMM5","CAPG","PLIN2","FLNA","COL8A2","TMTC2","MGAT4B","TXNIP","TWIST1","SAP18","TSPAN2","FAM46C","BNC1","DEXI","MAN1A1","RPS5"
"459","RAPGEF5","XIST","DSE","IDH1","TJP2","CSF3R","SNORA53","HIGD1A","PRRX2","LAPTM4A","PDLIM7","NEK6","HIST1H2BF","PMAIP1","DOK3","USP53","UQCR10","SLC6A6","HLA-A","TWIST1","TNKS1BP1","COL4A5","PARP8"
"460","KLF15","SLC38A1","FHOD3","MUCL1","FLNA","TSC22D3","PYGL","PLK4","C1ORF122","RAB3IP","ZFP36","KLHDC8B","CD9","BST2","RHOB","S100A4","CDK14","C19ORF38","ZNF831","SMURF2","ASS1","FAM20A","GRAPL"
"461","PLXNA4","PNPLA2","CAMK2D","TNFRSF14","SMAD1","RPS10-NUDT3","C6ORF132","AFMID","PKD1","GGH","SCARNA12","PHLDA3","LY6E","ST6GAL2","EIF3E","ARHGAP22","SPOCK1","IER3","CD37","SPECC1","F13A1","MARCH3","SGTB"
"462","TIMP1","TLR6","CDH13","CTSB","CTSS","EEF2K","CYFIP1","SSX2IP","FGFR1","NOB1","CELSR1","GPAT2","ESRP1","IFITM2","CHN2","CKM","FAM69A","PTPRJ","CCND2","TSPAN4","CSPG4","INHBA","SNORA11B"
"463","SNORA53","EEF1B2","SNED1","CBR3","SULT1C4","CD244","LMCD1","TREX1","DUSP23","SLC35F2","F2RL1","MME","HIST1H3G","FHOD3","PLXNC1","ALCAM","PPP3CA","SVIL","S100B","ITGB1","MFAP5","ALCAM","DYRK2"
"464","PIEZO1","FOS","SH3D19","RELB","KIF20A","TNRC18","ENAH","DYNLL1","SDC1","TMEM106C","CNTN1","MPP1","AHRR","EFNB2","SEMA4A","MURC","BAMBI","MCL1","PRR5","PMAIP1","EEPD1","PREX1","RPLP0"
"465","FGFR1","IRF7","CHPF","PRKCDBP","TFPI2","FLNA","SEMA4B","DNAJC8","CDH13","NDUFS4","CD44","ACTN1","CDK1","FRMD6","STK17B","PLOD1","FGF14","PHC2","SSBP4","CACNA2D1","ALPK2","SCARNA6","PSD4"
"466","ADCK3","SNORA36A","NRP2","WIBG","KIAA1671","FCGRT","PPL","BOLA3","PTGDS","PLAGL1","KCNJ15","SLAMF9","MLIP","SLC2A1","RHOC","NALCN","HLA-DPB1","GLUL","GLIPR2","C15ORF48","AKR1C3","CNTNAP1","RPS8"
"467","CPVL","SEMA4A","DPYSL2","OPTN","LINC00152","HSPA6","CHD7","TMEM106C","MYC","PPA1","LGALS3","TNFRSF21","JAM3","PTPRJ","MARCH1","TSTD1","ATP6V0A1","NFKBIZ","HMGN3","DCHS1","UBFD1","PHLDB1","HIVEP2"
"468","MAOB","RABEP2","CITED2","GOLGA8B","MALL","SEPT1","MAOA","CTTN","EBF1","RNF125","TMEM154","RNF130","ARHGEF11","RNPEPL1","RNF144B","LAMA4","GOT1","FCGR1A","TGFB1","PAG1","VIM","RPL13AP5","RPS17"
"469","CDH5","RPL18A","BMP4","MAP3K1","NHSL2","PDLIM7","MGAT4B","KIAA1586","ECM1","SYPL1","VDR","SH3BGRL3","PHLDB2","LIPG","LILRA6","LINC00152","GNAQ","KREMEN1","NFATC2","EFEMP1","LINC00116","RASSF8","SCML1"
"470","ANGPTL2","ATP8A1","SULF2","CHCHD10","ARVCF","ANXA1","SQLE","MGST3","PBX1","MIF4GD","MET","CTSK","PBK","PTPRS","PPA1","VAMP5","DPP6","VNN1","CD320","DPYSL2","ABCA5","MASP1","AHNAK"
"471","IFITM1","DGKD","NLGN1","AKAP2","DOCK1","PDLIM2","ADAMTS9","METTL7A","LIMA1","ST3GAL6","RPS29","CD81","SAMD9L","HOXA7","CSF2RB","TRPV2","PLXDC2","LPCAT2","CXCR2","SLFN11","HIST2H2AC","MSMO1","CENPK"
"472","AIF1","RPL35","CFI","PPM1K","CCDC88C","MICAL1","HIST1H2AH","NPM1","ARMCX2","DAPK1","PKP2","ID2","FLNA","C4ORF48","LITAF","TXNIP","DPCD","IMPA2","LAX1","ABCA1","MGP","SGMS2","PVT1"
"473","TXNDC5","TUBA4A","SCN8A","TBC1D8","PTPRK","SUN2","IGF2BP3","PPA1","EGFR","SCD","BOLA3","MMP7","UPP1","CMTM3","HIF1A","PTGER2","LUZP1","NTNG2","SYT11","FAM46A","MPST","GBP2","RPS29"
"474","UGDH","PSD4","CHST15","ABTB2","ADAM9","ZNF395","IL18","ICA1","TCEAL7","KLF10","LAMC1","HLA-A","LYPD1","WNT5A","IFITM3","MICAL2","NDUFA9","YPEL3","OPTN","ITGA5","RPLP0","MGP","PTGER4"
"475","PALM","PIK3C2B","ADAM9","FAM49A","CDC42EP5","ULK1","NRCAM","ACAT1","CA12","RPL10A","FAM110C","NQO1","ANXA1","ST6GAL1","DPYSL2","MYOM1","IFI27L1","CLEC2B","PTGER2","HERC2P4","ATP5G1","FAM46A","C12ORF57"
"476","C11ORF96","RAPGEF1","SELENBP1","HLA-A","CDKN1A","TIMP2","PROCR","OSTC","PHLDA3","SLC38A1","TMC6","SRD5A3","CYFIP1","ITPR3","FCGR1A","OSTC","FUNDC1","FBXL13","BHLHE40","FST","PDLIM5","PKIA","GNG2"
"477","RND3","SLC1A5","STAT4","TUBB2A","ATP8B1","RNPEPL1","CCDC85C","HIST1H4C","ABI3BP","EIF3E","ANXA1","LIMK1","CCL28","CLIC3","RETN","CAV3","COX7A2","RAB31","ATP8B4","DSG2","SPPL2A","SVIL","RPS27"
"478","KALRN","LRRK1","HEG1","IL2RA","SH3BP5","NKG7","PMAIP1","CCBL2","PAM","RAB34","ARHGAP25","FADS1","FRMD4B","ZNF503","RPL5","PPP1R14A","HPCAL1","IFNGR2","KIFC3","DBN1","SPTBN1","TPST1","DENND5A"
"479","DAB2","TBC1D9","CCBE1","CHST7","SCARNA6","TTYH3","LOXL1","PRDX3","RNASEK","TAGLN2","PTGS2","CD97","KAT2B","SCARNA6","CXCL3","CTSZ","FKBP9","PDLIM7","PLCXD2","AK5","NT5C1A","PTGFRN","SLA2"
"480","CLIC1","TNK2","EPB41L2","JUNB","WLS","TMEM164","EPB41L3","AARS","FEZ1","CYTIP","PLK2","GRN","HIST1H2AE","PDLIM2","VSTM1","EIF1AY","DDX25","CDC42EP3","SNORA36B","HOXA11","ZFP36","PKD1","HLA-E"
"481","HADH","HIST1H2AE","ALDH3A2","RBM47","NRCAM","ELMO1","MICAL2","CHEK1","CKB","LSM2","FAM84B","ITGA6","SPTBN1","THBS2","SIGLEC9","TMEM200A","PPM1B","FCGRT","KLF2","MCTP1","PRDX2","DPYSL2","EPB41"
"482","RPS16","LSR","BVES","HAPLN3","PVR","BEGAIN","EREG","NHP2","HS3ST3A1","PDLIM1","AMOTL1","DOCK10","TPX2","MMP11","GADD45B","SETD7","PSMB5","TMEM56","NEIL1","SLC22A4","MEF2D","EPDR1","GBP1"
"483","CCL14","TNS3","FAM110B","HLA-C","ITGB1","H1FX","MXRA8","NINJ2","SGCE","SLC29A1","PRKCZ","SLC43A3","C10ORF11","HIST1H2BB","RPL26","TUBB2A","SLC39A10","CD300LF","SIPA1","PDIA4","MID1IP1","ANTXR1","RPS13"
"484","TNFRSF1A","LBH","CDKN3","DDIT4L","MYO1E","NFE2","FAM213A","ANP32E","TGFB1I1","FAM117A","VIM","PEBP1","CDC20","SEMA3C","ACSL1","HIST1H4F","CST3","SNORA79","APOBR","FBLN5","HOMER3","TRPV2","RPL35A"
"485","MERTK","PMEPA1","CDON","C1ORF54","DDAH1","ABHD2","HIST1H2AG","HIATL1","XAF1","PLP2","CYB5R2","SLFN11","BCHE","HOXB2","SNORA79","S100A13","COX17","HLA-E","ANXA6","TSPAN14","P2RY2","AHRR","BTG2"
"486","TSPAN3","SLAMF1","ANGPTL2","TRPV2","DCHS1","GALNT6","METRN","FAM60A","CSRP1","SULT1A1","DAPP1","CTSC","SEPT9","LTBP4","HSH2D","ANK2","LMO7","LUZP6","SNORA11D","ANGPTL2","ANXA2","ATOH8","HIST1H4A"
"487","FCGR2B","TSPYL2","PDLIM2","DOCK8","DNAJB4","BASP1","TNFRSF10B","PLEK2","ADAMTS12","EXOSC8","LGALS3BP","SCIN","BIRC5","SCARA3","PF4","PAM","SLC38A1","STXBP2","PKN1","NTM","SCARNA6","PDIA4","RPL18A"
"488","ANK2","ARHGAP27","FAM49A","PTK2B","PIK3C2B","FGD2","FRMD4B","GLUL","PLIN2","CDK6","HR","AFAP1L1","BVES","LGALS1","IER2","SLC2A1","PTPN2","IRAK3","USP28","RHOBTB3","CBX7","KDM5D","TCEA3"
"489","CD81","MAN2B1","TSPAN4","PTPN6","ABCA3","PADI2","CNN2","GLO1","MATN2","KIAA0195","PXN","PTPN7","DMXL2","PRSS23","WDFY3","CTSH","SYNJ1","CEACAM1","SNORA11E","TWIST2","DDIT4","SYNC","PBXIP1"
"490","NFIA","RPPH1","NFIB","ST3GAL6","PIEZO1","ACSM3","HAS3","RPS16","CD44","CCND2","ZNF385A","ASAH1","ITGA3","KIF12","PREX1","FLNA","TCEAL8","ECE1","HIST1H4D","NEAT1","CITED2","LAMB3","TSPYL2"
"491","PLXND1","UBA7","SAMD11","CDYL2","N4BP3","CHST12","PSPH","PDLIM1","NDN","DDIT3","NHP2","HSPB1","TBX2","RHBDF2","CCDC109B","ALPK2","PSENEN","GAB2","PXN","AJUBA","RAD23A","SLC39A14","SH2D3A"
"492","VGLL3","GSDMB","CRISPLD2","FMNL3","PIM3","GIPR","PLAUR","HEBP1","GLRX","MGST2","PDIA4","PEA15","DHX58","SH3BP4","ADAP1","SMPX","BANF1","CNN2","ZBP1","HIST1H3I","EPN1","TNIK","AES"
"493","ZFP36L2","SH3GLB2","ITGA10","NAA25","JAG1","CROCC","SPATS2L","PHB","PLOD1","MAPK1IP1L","RIN1","LAMP1","P2RX7","ADAMTS7","SIRPA","MGP","RIC3","TSC22D3","HIST2H2AC","HYI","PARVB","ITGAV","SELK"
"494","PPA1","PEBP1","INHBA","CXCL16","PYCR1","HLA-E","TFPI","RAN","IFITM3","FAM162A","FRMD4B","PDE4DIP","ITGA4","BGN","LY96","PHLDA3","AKR1B1","IL1R1","RPL10A","RHBDF2","STRADB","KRT19","SPN"
"495","LGMN","CHST15","LXN","ANXA1","CARD10","TNFSF13","TUFT1","NUP37","SQLE","RPS4X","LPAR2","RAB13","AMDHD2","DBNDD2","CKAP4","CD14","TMEM242","APOBR","UTRN","APP","NHP2","TMSB10","GNL3"
"496","PCOLCE","PRKCB","MAGED1","PI4K2A","THSD1","SSH3","VIM","CHMP4A","HIST1H4L","UBA7","ODC1","WWTR1","ARMCX1","CDC20","LAIR1","EMB","POLR3K","ELMO1","ANXA2","NCKAP1","C1QA","PRKG1","LY75"
"497","ACTA2","CD320","MCTP2","TMSB10","MICAL2","AKT1","NREP","VWA5A","AKR1C2","ARHGEF6","ARHGEF5","ARPC1B","TSPAN3","MEX3D","PTGES","PDGFC","GDAP1","VASP","WIPF1","TNFRSF10A","NFE2L1","DSEL","RPL37A"
"498","CKB","P2RY10","SFRP4","LYPD3","RELL1","PRR5L","SLC39A14","RPLP1","ANK2","PRELID2","MXRA7","RAPGEF1","MARCKS","ALCAM","CRTAP","VIM","MRPL13","SLC31A2","ABCA2","COL4A6","COL6A1","PLOD1","HIST1H3B"
"499","SAMHD1","VNN2","TERC","RNF144B","TIMP2","MIDN","ZNF702P","HAUS1","TNFAIP6","PTGS1","HIST1H4I","EPB41L1","PYCARD","LTBP1","EMR1","GPR1","UBE2V2","CASP5","EVI2A","AMOTL2","LMOD3","COPZ2","RPLP2"
"500","CD300LG","HLA-E","EPDR1","SLMO2","RRAS2","MIR505","PLEKHA7","LBR","GALNT5","CAT","TNFSF9","P2RX7","SAMD9","CREB3L1","FAM101B","HNMT","ATP2A2","CPD","FOS","TRIB1","MAP4","ANGPT1","SNHG8"
"501","COLEC12","HMGN3","S100A10","SPEF2","FAM84B","AGER","NRP1","TUBA4A","GATA6","SYNGR2","HIST4H4","CES1","TUBA1C","GSTP1","CCDC88B","PGM5","C3ORF58","RARA","TKTL1","PKN1","MAPRE3","ABCA6","TSPAN32"
"502","ABLIM3","TSPAN3","SESN3","CCNG2","LAMA5","AREG","HIST1H4C","NDUFS4","A1BG","ID2","EPHB4","CLIC4","VAT1","HIST1H1D","GALNT3","TGFBR2","SUCLA2","KDM6B","ADAP1","TRIOBP","HIST2H2AA4","SPTBN1","LTBP3"
"503","KLF4","HLA-A","MIR100HG","CYP51A1","CD151","SCARNA12","PDGFB","GTSF1","PTGIR","EEF1G","NIPAL4","IL13RA1","HIST1H2AJ","MAGED4","CYBA","CDC42EP3","UQCRB","EHBP1L1","CD3D","CALU","PRDX1","TMEM158","SLMO2"
"504","ABCC9","LY86","ID2","FNBP1","BST2","IRF1","LRP11","SQLE","DUSP1","PLTP","S1PR5","VEGFB","TMEM140","PITPNM1","IL13RA1","SEPP1","PRMT8","TNFRSF1A","YES1","RNF152","PCNT","HIST1H3C","CCND2"
"505","APOL3","GYPC","PTGIS","TCIRG1","UTRN","SLC45A4","JAG1","TXN2","SEPT11","TCEAL8","NME1","MAPK13","CDC42BPB","RAB34","CES1","TMEM132A","MRPS24","PCBP1-AS1","PTK2B","SPTBN1","ASPH","FOXL1","GYPC"
"506","FADS3","ITGAL","ERRFI1","TRAF5","PLEC","ATG2A","TK1","TMEM126A","SGMS2","DUSP10","FHL2","SOAT1","NRCAM","HIST1H2AG","SNORA66","ARHGEF6","CAMK2D","SLC12A6","LITAF","OSMR","PSMB5","MVP","NSA2"
"507","RHOBTB3","LCK","KCNQ5","TFPI2","TMC6","PDLIM1","HYAL2","MRPL35","ALDH3B1","TMEM14C","CTNNAL1","PEPD","TXNDC5","LUM","LFNG","P4HA1","WDR61","PIM2","HIST1H3A","CDC6","DHRS7","CNTNAP3B","RPL22"
